State,Medical School,Course,Required or Recommended?,Lab?,Credit Hours,Pass/Fail,AP Credit,Online Course,Community College,Additional Info,,,,,,,
CT,Frank H. Netter MD School of Medicine at Quinnipiac University,Inorganic Chemistry,Required,Y,8,,Y,,Y,"Online coursework and P/F grading are acceptable if
completed as a result of COVID-related adjustments.",,,,,,,
CT,Frank H. Netter MD School of Medicine at Quinnipiac University,Organic Chemistry,Required,Y,4,,Y,,Y,"Online coursework and P/F grading are acceptable if
completed as a result of COVID-related adjustments.",,,,,,,
CT,Frank H. Netter MD School of Medicine at Quinnipiac University,Physics,Required,N,6,,Y,,Y,"Online coursework and P/F grading are acceptable if
completed as a result of COVID-related adjustments.",,,,,,,
CT,Frank H. Netter MD School of Medicine at Quinnipiac University,Psychology,Recommended,,,,Y,,,,,,,,,,
CT,Frank H. Netter MD School of Medicine at Quinnipiac University,Social Sciences,Recommended,,,,Y,,,,,,,,,,
CT,Frank H. Netter MD School of Medicine at Quinnipiac University,Behavioral Sciences,Recommended,N,,,Y,,,,,,,,,,
CT,Frank H. Netter MD School of Medicine at Quinnipiac University,Biochemistry,Recommended,N,,,Y,,,,,,,,,,
CT,Frank H. Netter MD School of Medicine at Quinnipiac University,Biology,,,,,Y,,,,,,,,,,
CT,Frank H. Netter MD School of Medicine at Quinnipiac University,Biology/Zoology,Required,Y,8,,Y,,N,,,,,,,,
CT,Frank H. Netter MD School of Medicine at Quinnipiac University,Calculus,,N,,,Y,,,,,,,,,,
CT,Frank H. Netter MD School of Medicine at Quinnipiac University,College English,Required,,6,,Y,,N,,,,,,,,
CT,Frank H. Netter MD School of Medicine at Quinnipiac University,College Mathematics,Recommended,N,,,Y,,,,,,,,,,
CT,Frank H. Netter MD School of Medicine at Quinnipiac University,Computer Science,,N,,,Y,,,,,,,,,,
CT,Frank H. Netter MD School of Medicine at Quinnipiac University,Genetics,Recommended,N,,,Y,,,,,,,,,,
CT,Frank H. Netter MD School of Medicine at Quinnipiac University,Humanities,Recommended,N,,,Y,,,,,,,,,,
CT,University of Connecticut School of Medicine,Inorganic Chemistry,Required,Y,12,,Y,Y,C,[image],,,,,,,
CT,University of Connecticut School of Medicine,Organic Chemistry,Required,Y,4,,Y,Y,C,[image],,,,,,,
CT,University of Connecticut School of Medicine,Physics,Required,Y,8,,Y,Y,C,[image],,,,,,,
CT,University of Connecticut School of Medicine,Physiology,Recommended,N,,,Y,,,,,,,,,,
CT,University of Connecticut School of Medicine,Psychology,Recommended,N,,,Y,,,,,,,,,,
CT,University of Connecticut School of Medicine,Social Sciences,Recommended,N,,,Y,,,,,,,,,,
CT,Yale School of Medicine,Behavioral Sciences,,N,,,Y,,,,,,,,,,
CT,Yale School of Medicine,Biochemistry,Required,Y,3,,Y,C,Y,"One semester. Laboratory recommended, but is not
required.",,,,,,,
CT,Yale School of Medicine,Biology,,N,,,Y,,,,,,,,,,
CT,Yale School of Medicine,Biology/Zoology,Required,Y,8,,Y,C,Y,Two semesters.,,,,,,,
CT,Yale School of Medicine,Calculus,,,,,Y,,,,,,,,,,
CT,Yale School of Medicine,College English,,N,,,Y,,,,,,,,,,
CT,Yale School of Medicine,College Mathematics,,N,,,Y,,,,,,,,,,
CT,Yale School of Medicine,Computer Science,,N,,,Y,,,,,,,,,,
CT,Yale School of Medicine,Genetics,,N,,,Y,,,,,,,,,,
CT,Yale School of Medicine,Humanities,,N,,,Y,,,,,,,,,,
CT,Yale School of Medicine,Inorganic Chemistry,Required,Y,8,,Y,C,Y,Two semesters.,,,,,,,
CT,Yale School of Medicine,Organic Chemistry,Required,Y,4,,Y,C,Y,One semester.,,,,,,,
CT,Yale School of Medicine,Physics,Required,Y,8,,Y,C,Y,Two semesters.,,,,,,,
CT,Yale School of Medicine,Psychology,,N,,,Y,,,,,,,,,,
CT,Yale School of Medicine,Social Sciences,,N,,,Y,,,,,,,,,,
DC,Georgetown University School of Medicine,Behavioral Sciences,Recommended,N,,,Y,N,Y,,,,,,,,
DC,Georgetown University School of Medicine,Biochemistry,Recommended,N,,,Y,N,Y,,,,,,,,
DC,Georgetown University School of Medicine,Biology,Required,Y,8,,Y,N,Y,,,,,,,,
DC,Georgetown University School of Medicine,Biology/Zoology,,N,,,Y,N,Y,,,,,,,,
DC,Georgetown University School of Medicine,Calculus,Recommended,N,,,Y,N,Y,,,,,,,,
DC,Georgetown University School of Medicine,College English,Recommended,N,,,Y,N,Y,,,,,,,,
DC,Georgetown University School of Medicine,College Mathematics,Required,N,4,,Y,N,Y,,,,,,,,
DC,Georgetown University School of Medicine,Computer Science,Recommended,N,,,Y,N,Y,,,,,,,,
DC,Georgetown University School of Medicine,Genetics,Recommended,N,,,Y,N,Y,,,,,,,,
DC,Georgetown University School of Medicine,Humanities,Recommended,N,,,Y,N,Y,,,,,,,,
DC,Georgetown University School of Medicine,Inorganic Chemistry,Required,Y,8,,Y,N,Y,,,,,,,,
DC,Georgetown University School of Medicine,Organic Chemistry,Required,Y,8,,Y,N,Y,,,,,,,,
DC,Georgetown University School of Medicine,Physics,Required,Y,8,,Y,N,Y,,,,,,,,
DC,Georgetown University School of Medicine,Psychology,Recommended,N,,,Y,N,Y,,,,,,,,
DC,Georgetown University School of Medicine,Social Sciences,Recommended,N,,,Y,N,Y,,,,,,,,
DC,George Washington University School of Medicine and Health Sciences,Behavioral Sciences,Recommended,N,,,Y,Y,,"Online for Fall 2020 and Spring 2021 coursework is
acceptable.",,,,,,,
DC,George Washington University School of Medicine and Health Sciences,Biochemistry,Recommended,,,,Y,Y,,"Online for Fall 2020 and Spring 2021 coursework
acceptable.",,,,,,,
DC,George Washington University School of Medicine and Health Sciences,Biology,Recommended,Y,,,Y,Y,,"Online for Fall 2020 and Spring 2021 coursework
acceptable.",,,,,,,
DC,George Washington University School of Medicine and Health Sciences,Biology/Zoology,,,,,Y,,,,,,,,,,
DC,George Washington University School of Medicine and Health Sciences,Calculus,,,,,Y,,,,,,,,,,
DC,George Washington University School of Medicine and Health Sciences,College English,Recommended,,,,Y,Y,,"Online for Fall 2020 and Spring 2021 coursework
acceptable.",,,,,,,
DC,George Washington University School of Medicine and Health Sciences,College Mathematics,Recommended,,,,Y,Y,,"Online for Fall 2020 and Spring 2021 coursework
acceptable.",,,,,,,
DC,George Washington University School of Medicine and Health Sciences,Computer Science,,,,,Y,,,,,,,,,,
DC,George Washington University School of Medicine and Health Sciences,Genetics,,,,,Y,,,,,,,,,,
DC,George Washington University School of Medicine and Health Sciences,Humanities,Recommended,,,,Y,Y,,"Online for Fall 2020 and Spring 2021 coursework
acceptable.",,,,,,,
DC,George Washington University School of Medicine and Health Sciences,Inorganic Chemistry,Recommended,Y,,,Y,Y,,"Online for Fall 2020 and Spring 2021 coursework
acceptable.",,,,,,,
DC,George Washington University School of Medicine and Health Sciences,Organic Chemistry,Recommended,Y,,,Y,Y,,"Online for Fall 2020 and Spring 2021 coursework
acceptable.",,,,,,,
DC,George Washington University School of Medicine and Health Sciences,Physics,Recommended,Y,,,Y,Y,,"Online for Fall 2020 and Spring 2021 coursework
acceptable.",,,,,,,
DC,George Washington University School of Medicine and Health Sciences,Psychology,Recommended,,,,Y,Y,,"Online for Fall 2020 and Spring 2021 coursework
acceptable.",,,,,,,
DC,George Washington University School of Medicine and Health Sciences,Social Sciences,Recommended,,,,Y,Y,,"Online for Fall 2020 and Spring 2021 coursework
acceptable.",,,,,,,
DC,Howard University College of Medicine,Behavioral Sciences,Recommended,N,,,Y,,,,,,,,,,
DC,Howard University College of Medicine,Biochemistry,Required,N,3,,Y,Y,Y,,,,,,,,
DC,Howard University College of Medicine,Biology,Required,Y,8,,Y,Y,,,,,,,,,
DC,Howard University College of Medicine,Biology/Zoology,,N,,,Y,,,,,,,,,,
DC,Howard University College of Medicine,Calculus,,N,,,Y,,,,,,,,,,
DC,Howard University College of Medicine,College English,Required,N,6,,Y,Y,Y,,,,,,,,
DC,Howard University College of Medicine,College Mathematics,Required,N,6,,Y,Y,Y,,,,,,,,
DC,Howard University College of Medicine,Computer Science,,N,,,Y,,,,,,,,,,
DC,Howard University College of Medicine,Genetics,Recommended,N,,,Y,Y,Y,,,,,,,,
DC,Howard University College of Medicine,Humanities,Required,N,6,,Y,Y,Y,,,,,,,,
DC,Howard University College of Medicine,Inorganic Chemistry,Required,Y,8,,Y,Y,Y,,,,,,,,
DC,Howard University College of Medicine,Organic Chemistry,Required,Y,8,,Y,Y,Y,,,,,,,,
DC,Howard University College of Medicine,Physics,Required,Y,8,,Y,Y,Y,,,,,,,,
DC,Howard University College of Medicine,Psychology,Recommended,N,,,Y,Y,Y,,,,,,,,
DC,Howard University College of Medicine,Social Sciences,Recommended,N,,,Y,Y,Y,,,,,,,,
FL,Charles E. Schmidt College of Medicine at Florida Atlantic University,Behavioral Sciences,Recommended,,3,,Y,Y,Y,,,,,,,,
FL,Charles E. Schmidt College of Medicine at Florida Atlantic University,Biochemistry,Recommended,Y,4,,Y,N,Y,,,,,,,,
FL,Charles E. Schmidt College of Medicine at Florida Atlantic University,Biology,Required,Y,8,,Y,N,Y,"the Admissions Committee prefers this course be
taken with 5 years of the application date",,,,,,,
FL,Charles E. Schmidt College of Medicine at Florida Atlantic University,Biology/Zoology,,,,,Y,,,,,,,,,,
FL,Charles E. Schmidt College of Medicine at Florida Atlantic University,Calculus,,,,,Y,,,,,,,,,,
FL,Charles E. Schmidt College of Medicine at Florida Atlantic University,College English,Required,N,6,,Y,C,Y,,,,,,,,
FL,Charles E. Schmidt College of Medicine at Florida Atlantic University,College Mathematics,Required,N,6,,Y,C,Y,,,,,,,,
FL,Charles E. Schmidt College of Medicine at Florida Atlantic University,Computer Science,Recommended,,3,,Y,Y,Y,,,,,,,,
FL,Charles E. Schmidt College of Medicine at Florida Atlantic University,Genetics,Recommended,Y,4,,Y,N,Y,,,,,,,,
FL,Charles E. Schmidt College of Medicine at Florida Atlantic University,Humanities,Recommended,,6,,Y,,Y,,,,,,,,
FL,Charles E. Schmidt College of Medicine at Florida Atlantic University,Inorganic Chemistry,Required,Y,8,,Y,,Y,"the Admissions Committee prefers this course be
taken with 5 years of the application date",,,,,,,
FL,Charles E. Schmidt College of Medicine at Florida Atlantic University,Organic Chemistry,Required,Y,8,,Y,,N,"the Admissions Committee prefers this course be
taken with 5 years of the application date",,,,,,,
FL,Charles E. Schmidt College of Medicine at Florida Atlantic University,Physics,Required,Y,8,,Y,,Y,"the Admissions Committee prefers this course be
taken with 5 years of the application date",,,,,,,
FL,Charles E. Schmidt College of Medicine at Florida Atlantic University,Psychology,Recommended,N,3,,Y,,Y,,,,,,,,
FL,Charles E. Schmidt College of Medicine at Florida Atlantic University,Social Sciences,Recommended,,6,,Y,,Y,,,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,Behavioral Sciences,Recommended,N,,,Y,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years.",,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,Biochemistry,Recommended,Y,4,,Y,,Y,"Course can be used to satisfy Organic 2
requirement; We will accept Pass/Fail and online
labs for coursework completed during the 2019-2020
and 2020-2021 academic years.",,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,Biology,Required,Y,8,,Y,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years.",,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,Biology/Zoology,,N,,,Y,,,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years.",,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,Calculus,,N,,,Y,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years.",,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,Cell Biology,Recommended,,,,Y,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years.",,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,College English,Required,N,6,,Y,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years.",,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,College Mathematics,Required,N,6,,Y,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years.",,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,Computer Science,,N,,,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years.",,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,Foreign Language,Recommended,N,,,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years.",,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,Genetics,Recommended,N,,,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years.",,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,Humanities,Recommended,N,,,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years.",,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,Immunology,Recommended,N,,,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years.",,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,Inorganic Chemistry,Required,Y,8,,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years.",,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,Microbiology,Recommended,N,,,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years.",,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,Organic Chemistry,Required,Y,8,,Y,Y,Y,"Satisfied by either Organic Chemistry 1 & 2 or
Organic Chemistry 1 & Biochemistry; We will accept
Pass/Fail and online labs for coursework completed
during the 2019-2020 and 2020-2021 academic
years.",,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,Physics,Required,Y,8,,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years.",,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,Psychology,,N,,,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years.",,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,Social Sciences,Recommended,N,,,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years.",,,,,,,
FL,Florida International University Herbert Wertheim College of Medicine,Statistics,Recommended,N,,,Y,Y,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years.",,,,,,,
FL,Florida State University College of Medicine,Behavioral Sciences,,,,,Y,,,,,,,,,,
FL,Florida State University College of Medicine,Biochemistry,Required,N,3,,Y,,,"Applicants must complete a Biochemistry course
which requires at least one Organic Chemistry
course as a pre-requisite. One credit hour of
biochemistry laboratory is preferred but not required.",,,,,,,
FL,Florida State University College of Medicine,Biology,Required,Y,8,,Y,,,,,,,,,,
FL,Florida State University College of Medicine,Biology/Zoology,,N,,,Y,,,,,,,,,,
FL,Florida State University College of Medicine,Calculus,,N,,,Y,,,,,,,,,,
FL,Florida State University College of Medicine,College English,Required,N,6,,Y,,,"Other writing intensive courses may substitute for
English requirement.",,,,,,,
FL,Florida State University College of Medicine,College Mathematics,Required,N,6,,Y,,,Statistics is recommended.,,,,,,,
FL,Florida State University College of Medicine,Computer Science,,N,,,Y,,,,,,,,,,
FL,Florida State University College of Medicine,Genetics,Recommended,N,3,,Y,,,,,,,,,,
FL,Florida State University College of Medicine,Humanities,,N,,,Y,,,,,,,,,,
FL,Florida State University College of Medicine,Inorganic Chemistry,,N,,,Y,,,,,,,,,,
FL,Florida State University College of Medicine,Organic Chemistry,Required,Y,4,,Y,,,,,,,,,,
FL,Florida State University College of Medicine,Physics,Required,Y,8,,Y,,,,,,,,,,
FL,Florida State University College of Medicine,Psychology,Recommended,N,3,,Y,,,,,,,,,,
FL,Florida State University College of Medicine,Social Sciences,Recommended,N,3,,Y,,,,,,,,,,
FL,Florida State University College of Medicine,Spanish,Recommended,N,6,,Y,,,,,,,,,,
FL,Florida State University College of Medicine,Statistics,Recommended,N,,,Y,,,,,,,,,,
FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Anatomy,Recommended,N,,,Y,C,Y,,,,,,,,
FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Behavioral Sciences,Recommended,,,,Y,,Y,Y,,,,,,,
FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Biochemistry,Required,,,,Y,C,Y,,,,,,,,
FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Biology,Required,,,Y,Y,C,Y,,,,,,,,
FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Biology/Zoology,Recommended,,,,Y,C,Y,,,,,,,,
FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Calculus,Recommended,,,,Y,,Y,Y,,,,,,,
FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,College English,Recommended,,,,Y,,Y,,,,,,,,
FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,College Mathematics,Required,,,,Y,,Y,Y,,,,,,,
FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Computer Science,,,,,Y,,Y,,,,,,,,
FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Genetics,Recommended,,,,Y,C,Y,,,,,,,,
FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Humanities,Recommended,,,,Y,,Y,,,,,,,,
FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Immunology,Recommended,N,,,Y,C,Y,,,,,,,,
FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Inorganic Chemistry,Recommended,N,,,Y,C,Y,,,,,,,,
FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Organic Chemistry,Required,,,Y,Y,C,Y,,,,,,,,
FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Physics,Required,N,,,Y,C,Y,,,,,,,,
FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Physiology,Recommended,N,,,Y,C,Y,,,,,,,,
FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Psychology,Recommended,,,,Y,,Y,Y,,,,,,,
FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Social Sciences,Recommended,,,,Y,,Y,,,,,,,,
FL,University of Central Florida  College of Medicine,Anatomy,Recommended,N,,,Y,,,,,,,,,,
FL,University of Central Florida  College of Medicine,Behavioral Sciences,Recommended,N,,,Y,,,,,,,,,,
FL,University of Central Florida  College of Medicine,Biochemistry,Recommended,N,,,Y,,,,,,,,,,
FL,University of Central Florida  College of Medicine,Biology,Required,Y,8,,Y,,,,,,,,,,
FL,University of Central Florida  College of Medicine,Biology/Zoology,,N,,,Y,,,,,,,,,,
FL,University of Central Florida  College of Medicine,Calculus,Recommended,N,,,Y,,,,,,,,,,
FL,University of Central Florida  College of Medicine,Cell Biology,Recommended,N,,,Y,,,,,,,,,,
FL,University of Central Florida  College of Medicine,College English,Required,N,6,,Y,,,,,,,,,,
FL,University of Central Florida  College of Medicine,College Mathematics,Required,N,6,,Y,,,,,,,,,,
FL,University of Central Florida  College of Medicine,Computer Science,,N,,,Y,,,,,,,,,,
FL,University of Central Florida  College of Medicine,Genetics,Recommended,N,,,Y,,,,,,,,,,
FL,University of Central Florida  College of Medicine,Humanities,,,,,Y,,,,,,,,,,
FL,University of Central Florida  College of Medicine,Inorganic Chemistry,Required,Y,8,,Y,Y,,[image],,,,,,,
FL,University of Central Florida  College of Medicine,Organic Chemistry,Required,Y,8,,Y,Y,,[image],,,,,,,
FL,University of Central Florida  College of Medicine,Physics,Required,Y,8,,Y,Y,,[image],,,,,,,
FL,University of Central Florida  College of Medicine,Psychology,Recommended,N,,,Y,Y,,[image],,,,,,,
FL,University of Central Florida  College of Medicine,Social Sciences,Recommended,N,,,Y,Y,,,,,,,,,
FL,University of Central Florida  College of Medicine,Statistics,Recommended,N,,,Y,Y,,,,,,,,,
FL,University of Central Florida  College of Medicine,Behavioral Sciences,,N,,,Y,,,,,,,,,,
FL,University of Florida College of Medicine,Biochemistry,Required,,3,N,Y,N,Y,,,,,,,,
FL,University of Florida College of Medicine,Biology,Required,Y,8,,Y,Y,,"AP and other test credit is only accepted if graded
coursework in the discipline is also completed, at the
discretion of the committee",,,,,,,
FL,University of Florida College of Medicine,Biology/Zoology,,,,,Y,,,,,,,,,,
FL,University of Florida College of Medicine,Calculus,Recommended,N,,,Y,,,,,,,,,,
FL,University of Florida College of Medicine,College English,,N,,,Y,,,,,,,,,,
FL,University of Florida College of Medicine,College Mathematics,,N,,,Y,,,,,,,,,,
FL,University of Florida College of Medicine,Computer Science,,N,,,Y,,,,,,,,,,
FL,University of Florida College of Medicine,General Chemistry,Required,Y,8,,Y,Y,,[image],,,,,,,
FL,University of Florida College of Medicine,Genetics,Recommended,N,,,Y,,,,,,,,,,
FL,University of Florida College of Medicine,Humanities,,N,,,Y,,,,,,,,,,
FL,University of Florida College of Medicine,Inorganic Chemistry,,N,,,Y,Y,N,"Inorganic chemistry, as distinguished from general
chemistry, is an upper division chemistry course
offered by a 4 year institution. Not required but may
sub for general chemistry.",,,,,,,
FL,University of Florida College of Medicine,Molecular Biology,Recommended,N,,,Y,,,,,,,,,,
FL,University of Florida College of Medicine,Organic Chemistry,Required,Y,4,,Y,Y,,[image],,,,,,,
FL,University of Florida College of Medicine,Physics,Required,,8,,Y,,,C [image],,,,,,,
FL,University of Florida College of Medicine,Psychology,,Y,,,Y,,,,,,,,,,
FL,University of Florida College of Medicine,Social Sciences,Recommended,N,,,Y,,,,,,,,,,
FL,University of Florida College of Medicine,Statistics,Recommended,N,,,Y,,,,,,,,,,
FL,University of Miami Leonard  M. Miller School of Medicine,Behavioral Sciences,Required,,6,,Y,,,"Online accepted if unable to take on-site because of
the COVID Pandemic.",,,,,,,
FL,University of Miami Leonard  M. Miller School of Medicine,Biochemistry,Required,N,3,,Y,,,"Online accepted if unable to take on-site because of
the COVID Pandemic.",,,,,,,
FL,University of Miami Leonard  M. Miller School of Medicine,Biology,Required,N,8,,Y,,,"Online accepted if unable to take on-site because of
the COVID Pandemic.",,,,,,,
FL,University of Miami Leonard  M. Miller School of Medicine,Biology/Zoology,,N,,Y,Y,,,"Online accepted if unable to take on-site because of
the COVID Pandemic.",,,,,,,
FL,University of Miami Leonard  M. Miller School of Medicine,Calculus,,Y,,,Y,,,,,,,,,,
FL,University of Miami Leonard  M. Miller School of Medicine,College English,Required,N,6,Y,Y,,,"Online accepted if unable to take on-site because of
the COVID Pandemic.",,,,,,,
FL,University of Miami Leonard  M. Miller School of Medicine,College Mathematics,,Y,,,Y,,,,,,,,,,
FL,University of Miami Leonard  M. Miller School of Medicine,Computer Science,Recommended,N,,,Y,,C,"Online accepted if unable to take on-site because of
the COVID Pandemic.",,,,,,,
FL,University of Miami Leonard  M. Miller School of Medicine,Genetics,Recommended,N,,,Y,,C,"Online accepted if unable to take on-site because of
the COVID Pandemic.",,,,,,,
FL,University of Miami Leonard  M. Miller School of Medicine,Humanities,Recommended,N,,,Y,,C,"Online accepted if unable to take on-site because of
the COVID Pandemic.",,,,,,,
FL,University of Miami Leonard  M. Miller School of Medicine,Inorganic Chemistry,Required,N,8,Y,Y,,,"Online accepted if unable to take on-site because of
the COVID Pandemic.",,,,,,,
FL,University of Miami Leonard  M. Miller School of Medicine,Organic Chemistry,Required,Y,4,Y,Y,,,"Online accepted if unable to take on-site because of
the COVID Pandemic.",,,,,,,
FL,University of Miami Leonard  M. Miller School of Medicine,Physics,Required,Y,8,Y,Y,,,"Online accepted if unable to take on-site because of
the COVID Pandemic.",,,,,,,
FL,University of Miami Leonard  M. Miller School of Medicine,Psychology,Recommended,Y,,,Y,,C,"Online accepted if unable to take on-site because of
the COVID Pandemic.",,,,,,,
FL,University of Miami Leonard  M. Miller School of Medicine,Social Sciences,Recommended,N,,,Y,,C,"Online accepted if unable to take on-site because of
the COVID Pandemic.",,,,,,,
FL,USF Health Morsani College of Medicine,Behavioral Sciences,Recommended,N,,,Y,,,[image] Y,,,,,,,
FL,USF Health Morsani College of Medicine,Biochemistry,Required,N,3,,Y,C,Y,,,,,,,,
FL,USF Health Morsani College of Medicine,Biology,Required,Y,8,,Y,C,Y,,,,,,,,
FL,USF Health Morsani College of Medicine,Biology/Zoology,Recommended,N,,,Y,C,Y,,,,,,,,
FL,USF Health Morsani College of Medicine,Calculus,Recommended,N,,,Y,C,Y,,,,,,,,
FL,USF Health Morsani College of Medicine,College English,Required,N,6,,Y,C,Y,,,,,,,,
FL,USF Health Morsani College of Medicine,College Mathematics,Required,N,6,,Y,C,Y,,,,,,,,
FL,USF Health Morsani College of Medicine,Computer Science,Recommended,N,,,Y,C,Y,,,,,,,,
FL,USF Health Morsani College of Medicine,Genetics,Recommended,N,,,Y,C,Y,,,,,,,,
FL,USF Health Morsani College of Medicine,Humanities,Recommended,N,,,Y,C,Y,,,,,,,,
FL,USF Health Morsani College of Medicine,Inorganic Chemistry,Recommended,Y,,,Y,C,Y,,,,,,,,
FL,USF Health Morsani College of Medicine,Organic Chemistry,Required,Y,4,,Y,C,Y,,,,,,,,
FL,USF Health Morsani College of Medicine,Physics,Required,Y,8,,Y,C,Y,,,,,,,,
FL,USF Health Morsani College of Medicine,Psychology,Recommended,N,,,Y,C,Y,,,,,,,,
FL,USF Health Morsani College of Medicine,Social Sciences,Recommended,N,,,Y,C,Y,,,,,,,,
GA,Emory University School of Medicine,Behavioral Sciences,Recommended,N,,,Y,Y,Y,"We will accept both Pass/Fail and online
coursework.",,,,,,,
GA,Emory University School of Medicine,Biochemistry,Recommended,N,,,Y,Y,Y,,,,,,,,
GA,Emory University School of Medicine,Biology,Required,Y,8,,Y,Y,Y,"We will accept both Pass/Fail and online
coursework.",,,,,,,
GA,Emory University School of Medicine,Biology/Zoology,,N,,,Y,,,,,,,,,,
GA,Emory University School of Medicine,Calculus,,N,,,Y,,,,,,,,,,
GA,Emory University School of Medicine,College English,Required,N,6,,Y,Y,Y,"We will accept both Pass/Fail and online
coursework.",,,,,,,
GA,Emory University School of Medicine,College Mathematics,,N,,,Y,,,,,,,,,,
GA,Emory University School of Medicine,Computer Science,,N,,,Y,,,,,,,,,,
GA,Emory University School of Medicine,Genetics,,N,,,Y,,,,,,,,,,
GA,Emory University School of Medicine,Humanities,Required,N,18,,Y,Y,Y,"We will accept both Pass/Fail and online
coursework.",,,,,,,
GA,Emory University School of Medicine,Inorganic Chemistry,Required,Y,8,,Y,Y,Y,"We will accept Pass/Fail and online coursework
completed during the 2019-20 and 2020-21
academic years.",,,,,,,
GA,Emory University School of Medicine,Organic Chemistry,Required,Y,8,,Y,Y,Y,"We will accept both Pass/Fail and online
coursework.",,,,,,,
GA,Emory University School of Medicine,Physics,Required,Y,8,,Y,Y,Y,"This requirement can be met with 8 credit hours in
any physical science course that includes lab
(physics, geology, ecology, etc.). We will accept
both Pass/Fail and online coursework.",,,,,,,
GA,Emory University School of Medicine,Psychology,Recommended,N,,,Y,Y,Y,,,,,,,,
GA,Emory University School of Medicine,Social Sciences,Recommended,,,,Y,Y,Y,"We will accept both Pass/Fail and online
coursework.",,,,,,,
GA,Medical College of Georgia at Augusta University,Behavioral Sciences,,N,,,Y,,,,,,,,,,
