State,Medical School,Course,"Required or
Recommended?",Lab?,"Credit
Hours","Pass/
Fail","AP
Credit","Online
Course","Community
College",Additional Info
CA,"University of
California, Davis,
School of
Medicine",Calculus,,Y,,N,,,Y,
CA,"University of
California, Davis,
School of
Medicine",College English,Recommended,Y,,N,,,Y,
CA,"University of
California, Davis,
School of
Medicine",College Mathematics,Recommended,Y,,N,,,Y,
CA,"University of
California, Davis,
School of
Medicine",College Statistics,Recommended,Y,,N,,,Y,
CA,"University of
California, Davis,
School of
Medicine",Computer Science,,Y,,N,,,Y,
CA,"University of
California, Davis,
School of
Medicine",Genetics,Recommended,Y,,N,,,Y,
CA,"University of
California, Davis,
School of
Medicine",Humanities,Recommended,Y,,N,,,Y,
CA,"University of
California, Davis,
School of
Medicine",Human Physiology,Recommended,Y,,N,,,Y,
CA,"University of
California, Davis,
School of
Medicine",Inorganic Chemistry,Required,Y,8,N,,,Y,"1 year (2 semesters or 3 quarters) required, totaling
at least 8 units. We will accept Pass/Fail and online
coursework and labs completed during the
2019-2020 through the 2021-2022 academic years."
CA,"University of
California, Davis,
School of
Medicine",Organic Chemistry,Required,Y,8,N,,,Y,"1 year (2 semesters or 3 quarters) required, totaling
at least 8 units. We will accept Pass/Fail and online
coursework and labs completed during the
2019-2020 through the 2021-2022 academic years."
CA,"University of
California, Davis,
School of
Medicine",Physics,Required,Y,8,N,,,Y,"1 year (2 semesters or 3 quarters) required, totaling
at least 8 units. We will accept Pass/Fail and online
coursework and labs completed during the
2019-2020 through the 2021-2022 academic years."
CA,"University of
California, Davis,
School of
Medicine",Psychology,,Y,,N,,,Y,
CA,"University of
California, Davis,
School of
Medicine",Social Sciences,Recommended,Y,,N,,,Y,
CA,"University of
California, Irvine,
School of
Medicine",Behavioral Sciences,Recommended,Y,,N,,,Y,
CA,"University of
California, Irvine,
School of
Medicine",Biochemistry,Required,Y,3,N,,,Y,"See chemistry requirement, two years of chemistry
are required that include inorganic, organic and
biochemistry."
CA,"University of
California, Irvine,
School of
Medicine",Biology,Required,Y,12,N,,,Y,"At least two lower division biology courses and one
upper division course is required. The upper division
course needs to be taken at a 4-year institution."
CA,"University of
California, Irvine,
School of
Medicine",Biology,,Y,,N,,,Y,
CA,"University of
California, Irvine,
School of
Medicine",Biology/Zoology,,Y,,N,,,Y,
CA,"University of
California, Irvine,
School of
Medicine",Biostatistics,Recommended,Y,,N,,,Y,
CA,"University of
California, Irvine,
School of
Medicine",Calculus,Recommended,Y,,N,,,Y,
CA,"University of
California, Irvine,
School of
Medicine",Chemistry,Required,Y,16,N,,,Y,"Must equate to 2 years, including general/inorganic
chemistry, organic chemistry and biochemistry."
CA,"University of
California, Irvine,
School of
Medicine",College English,Recommended,Y,,N,,,Y,
CA,"University of
California, Irvine,
School of
Medicine",College Mathematics,,Y,,N,,,Y,
CA,"University of
California, Irvine,
School of
Medicine",Computer Science,,Y,,N,,,Y,
CA,"University of
California, Irvine,
School of
Medicine",Genetics,Recommended,Y,,N,,,Y,
CA,"University of
California, Irvine,
School of
Medicine",Humanities,Required,Y,,N,,,Y,"Applicants must have taken at least one course in
the humanities (English, history, arts)."
CA,"University of
California, Irvine,
School of
Medicine",Inorganic Chemistry,Required,Y,3,N,,,Y,"Two years of chemistry are required that include
inorganic, organic and biochemistry."
CA,"University of
California, Irvine,
School of
Medicine",Organic Chemistry,Required,Y,3,N,,,Y,"Two years of chemistry are required that include
inorganic, organic and biochemistry."
CA,"University of
California, Irvine,
School of
Medicine",Physics,Required,Y,6,N,,,Y,
CA,"University of
California, Irvine,
School of
Medicine",Physics,Required,Y,8,N,,,Y,Must equate to 1 year
CA,"University of
California, Irvine,
School of
Medicine",Psychology,Recommended,Y,,N,,,Y,
CA,"University of
California, Irvine,
School of
Medicine",Social Sciences,Recommended,Y,,N,,,Y,
CA,"University of
California, Irvine,
School of
Medicine",Spanish,Recommended,Y,,N,,,Y,
CA,"University of
California, Los
Angeles David
Geffen School of
Medicine",Behavioral Sciences,Recommended,Y,,N,,,Y,"Pass/Fail only accepted if COVID-19 pandemic
related for courses taken during Spring and/or
Summer 2020."
CA,"University of
California, Los
Angeles David
Geffen School of
Medicine",Biochemistry,Recommended,Y,,N,,,Y,"Pass/Fail only accepted if COVID-19 pandemic
related for courses taken during Spring and/or
Summer 2020."
CA,"University of
California, Los
Angeles David
Geffen School of
Medicine",Biology,Recommended,Y,,N,,,Y,"Pass/Fail only accepted if COVID-19 pandemic
related for courses taken during Spring and/or
Summer 2020."
CA,"University of
California, Los
Angeles David
Geffen School of
Medicine",Biology/Zoology,,Y,,N,,,Y,"Pass/Fail only accepted if COVID-19 pandemic
related for courses taken during Spring and/or
Summer 2020."
CA,"University of
California, Los
Angeles David
Geffen School of
Medicine",Calculus,Recommended,Y,,N,,,Y,"Pass/Fail only accepted if COVID-19 pandemic
related for courses taken during Spring and/or
Summer 2020."
CA,"University of
California, Los
Angeles David
Geffen School of
Medicine",College English,Recommended,Y,,N,,,Y,"Pass/Fail only accepted if COVID-19 pandemic
related for courses taken during Spring and/or
Summer 2020."
CA,"University of
California, Los
Angeles David
Geffen School of
Medicine",College Mathematics,Recommended,Y,,N,,,Y,"Pass/Fail only accepted if COVID-19 pandemic
related for courses taken during Spring and/or
Summer 2020."
CA,"University of
California, Los
Angeles David
Geffen School of
Medicine",Computer Science,,Y,,N,,,Y,
CA,"University of
California, Los
Angeles David
Geffen School of
Medicine",Genetics,Recommended,Y,,N,,,Y,"Pass/Fail only accepted if COVID-19 pandemic
related for courses taken during Spring and/or
Summer 2020."
CA,"University of
California, Los
Angeles David
Geffen School of
Medicine",Humanities,Recommended,Y,,N,,,Y,
CA,"University of
California, Los
Angeles David
Geffen School of
Medicine",Inorganic Chemistry,Recommended,Y,,N,,,Y,"Pass/Fail only accepted if COVID-19 pandemic
related for courses taken during Spring and/or
Summer 2020."
CA,"University of
California, Los
Angeles David
Geffen School of
Medicine",Organic Chemistry,Recommended,Y,,N,,,Y,"Pass/Fail only accepted if COVID-19 pandemic
related for courses taken during Spring and/or
Summer 2020."
CA,"University of
California, Los
Angeles David
Geffen School of
Medicine",Physics,Recommended,Y,,N,,,Y,"Pass/Fail only accepted if COVID-19 pandemic
related for courses taken during Spring and/or
Summer 2020."
CA,"University of
California, Los
Angeles David
Geffen School of
Medicine",Psychology,Recommended,Y,,N,,,Y,"Pass/Fail only accepted if COVID-19 pandemic
related for courses taken during Spring and/or
Summer 2020."
CA,"University of
California, Los
Angeles David
Geffen School of
Medicine",Social Sciences,Recommended,Y,,N,,,Y,"Pass/Fail only accepted if COVID-19 pandemic
related for courses taken during Spring and/or
Summer 2020."
CA,"University of
California,
Riverside School",Behavioral Sciences,Recommended,Y,,N,,,Y,"For additional information on our program
prerequisites, please see: https://somsa.ucr.edu/
program-prerequisites"
CA,"University of
California,
Riverside School
of Medicine",Biochemistry,Required,Y,,N,,,Y,"Labs are not required, but recommended.
For additional information on our program
prerequisites, please see: https://somsa.ucr.edu/
program-prerequisites"
CA,"University of
California,
Riverside School
of Medicine",Biology,Required,Y,,N,,,Y,"Labs are not required, but recommended. For
additional information on our program prerequisites,
please see: https://somsa.ucr.edu/program-prerequisites"
CA,"University of
California,
Riverside School
of Medicine",Biology/Zoology,,Y,,N,,,Y,
CA,"University of
California,
Riverside School
of Medicine",Calculus,Required,Y,,N,,,Y,"We require eight (8) semester hours in calculus and/
or statistics. For additional information on our
program prerequisites, please see: https://
somsa.ucr.edu/program-prerequisites"
CA,"University of
California,
Riverside School
of Medicine",College English,Recommended,Y,,N,,,Y,"We recommend a combination of English, writing,
composition, logic, or critical thinking courses."
CA,"University of
California,
Riverside School
of Medicine",College Mathematics,Required,Y,,N,,,Y,"We require eight (8) semester hours in calculus and/
or statistics. For additional information on our
program prerequisites, please see: https://
somsa.ucr.edu/program-prerequisites"
CA,"University of
California,
Riverside School
of Medicine",Computer Science,,Y,,N,,,Y,
CA,"University of
California,
Riverside School
of Medicine",Genetics,Recommended,Y,,N,,,Y,"For additional information on our program
prerequisites, please see: https://somsa.ucr.edu/
program-prerequisites"
CA,"University of
California,
Riverside School
of Medicine",Humanities,Recommended,Y,,N,,,Y,"For additional information on our program
prerequisites, please see: https://somsa.ucr.edu/
program-prerequisites"
CA,"University of
California,
Riverside School
of Medicine",Inorganic Chemistry,Required,Y,,N,,,Y,"Labs are not required, but recommended. For
additional information on our program prerequisites,
please see: https://somsa.ucr.edu/program-prerequisites"
CA,"University of
California,
Riverside School
of Medicine",Mathematics,Required,Y,,N,,,Y,"We require Eight (8) semester hours in calculus and/
or statistics. For additional information on our
program prerequisites, please see: https://
somsa.ucr.edu/program-prerequisites"
CA,"University of
California,
Riverside School
of Medicine",Organic Chemistry,Required,Y,,N,,,Y,"Labs are not required, but recommended. For
additional information on our program prerequisites,
please see: https://somsa.ucr.edu/program-prerequisites"
CA,"University of
California,
Riverside School
of Medicine",Physics,Required,Y,,N,,,Y,"Labs are not required, but recommended. For
additional information on our program prerequisites,
please see: https://somsa.ucr.edu/program-prerequisites"
CA,"University of
California,
Riverside School
of Medicine",Psychology,Recommended,Y,,N,,,Y,"For additional information on our program
prerequisites, please see: https://somsa.ucr.edu/
program-prerequisites"
CA,"University of
California,
Riverside School
of Medicine",Social Sciences,Recommended,Y,,N,,,Y,"For additional information on our program
prerequisites, please see: https://somsa.ucr.edu/
program-prerequisites"
CA,"University of
California, San
Diego School of
Medicine",Behavioral Sciences,,Y,,N,,,Y,
CA,"University of
California, San
Diego School of
Medicine",Biochemistry,Recommended,Y,,N,,,Y,
CA,"University of
California, San
Diego School of
Medicine",Biology,Recommended,Y,,N,,,Y,
CA,"University of
California, San
Diego School of
Medicine",Biology/Zoology,,Y,,N,,,Y,
CA,"University of
California, San
Diego School of
Medicine",Calculus,,Y,,N,,,Y,
CA,"University of
California, San
Diego School of
Medicine",Calculus,Recommended,Y,,N,,,Y,
CA,"University of
California, San
Diego School of
Medicine",College English,Recommended,Y,,N,,,Y,
CA,"University of
California, San
Diego School of
Medicine",College Mathematics,Recommended,Y,,N,,,Y,
CA,"University of
California, San
Diego School of
Medicine",Computer Science,,Y,,N,,,Y,
CA,"University of
California, San
Diego School of
Medicine",Genetics,Recommended,Y,,N,,,Y,
CA,"University of
California, San
Diego School of
Medicine",Humanities,Recommended,Y,,N,,,Y,
CA,"University of
California, San
Diego School of
Medicine",Inorganic Chemistry,Recommended,Y,,N,,,Y,
CA,"University of
California, San
Diego School of
Medicine",Organic Chemistry,Recommended,Y,,N,,,Y,
CA,"University of
California, San
Diego School of
Medicine",Physics,Recommended,Y,,N,,,Y,
CA,"University of
California, San
Diego School of
Medicine",Psychology,,Y,,N,,,Y,
CA,"University of
California, San
Diego School of
Medicine",Social Sciences,,Y,,N,,,Y,
CA,"University of
California, San
Diego School of
Medicine",Statistics,Recommended,Y,,N,,,Y,
CA,"University of
California, San
Francisco,
School of
Medicine",Behavioral Sciences,,Y,,N,,,Y,
CA,"University of
California, San
Francisco,
School of
Medicine",Biochemistry,Required,Y,4,N,,,Y,
CA,"University of
California, San
Francisco,
School of
Medicine",Biology,Required,Y,8,N,,,Y,
CA,"University of
California, San
Francisco,
School of
Medicine",Biology/Zoology,,Y,,N,,,Y,
CA,"University of
California, San
Francisco,
School of
Medicine",Calculus,,Y,,N,,,Y,
CA,"University of
California, San
Francisco,
School of
Medicine",College English,,Y,,N,,,Y,
CA,"University of
California, San
Francisco,
School of
Medicine",College Mathematics,,Y,,N,,,Y,
CA,"University of
California, San
Francisco,
School of
Medicine",Computer Science,,Y,,N,,,Y,
CA,"University of
California, San
Francisco,
School of
Medicine",Genetics,,Y,,N,,,Y,
CA,"University of
California, San
Francisco,
School of
Medicine",Humanities,,Y,,N,,,Y,
CA,"University of
California, San
Francisco,
School of
Medicine",Inorganic Chemistry,Required,Y,8,N,,,Y,AP credit must appear on official transcript.
CA,"University of
California, San
Francisco,
School of
Medicine",Organic Chemistry,Required,Y,4,N,,,Y,
CA,"University of
California, San
Francisco,
School of
Medicine",Physics,Required,Y,8,N,,,Y,AP credit must appear on official transcript.
CA,"University of
California, San
Francisco,
School of
Medicine",Psychology,,Y,,N,,,Y,
CA,"University of
California, San
Francisco,
School of
Medicine",Social Sciences,,Y,,N,,,Y,
CO,"University of
Colorado School
of Medicine",Behavioral Sciences,Recommended,Y,,N,,,Y,
CO,"University of
Colorado School
of Medicine",Biochemistry,Recommended,Y,,N,,,Y,"Applicants should demonstrate competence in basic
principles of chemistry as it pertains to living systems
and knowledge of how biomolecules contribute to
structure and function of cells and organs."
CO,"University of
Colorado School
of Medicine",Biology,Recommended,Y,,N,,,Y,"Applicants should demonstrate an understanding of
molecular and cellular biology, genetics, and
principles underlying the structure and function of
organ systems and regulation of human physiology."
CO,"University of
Colorado School
of Medicine",Biology/Zoology,,Y,,N,,,Y,
CO,"University of
Colorado School
of Medicine",Calculus,,Y,,N,,,Y,
CO,"University of
Colorado School
of Medicine",College English,Recommended,Y,,N,,,Y,
CO,"University of
Colorado School
of Medicine",College Mathematics,Recommended,Y,,N,,,Y,
CO,"University of
Colorado School
of Medicine",Computer Science,,Y,,N,,,Y,
CO,"University of
Colorado School
of Medicine",Genetics,Recommended,Y,,N,,,Y,
CO,"University of
Colorado School
of Medicine",Humanities,,Y,,N,,,Y,
CO,"University of
Colorado School
of Medicine",Inorganic Chemistry,Recommended,Y,,N,,,Y,
CO,"University of
Colorado School
of Medicine",Organic Chemistry,Recommended,Y,,N,,,Y,
CO,"University of
Colorado School
of Medicine",Other,Recommended,Y,,N,,,Y,
CO,"University of
Colorado School
of Medicine",Physics,,Y,,N,,,Y,
CO,"University of
Colorado School
of Medicine",Psychology,Recommended,Y,,N,,,Y,
CO,"University of
Colorado School
of Medicine",Social Sciences,Recommended,Y,,N,,,Y,"Applicants should be aware of factors that influence
individual, community, and societal decisions
regarding health and health care delivery."
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Behavioral Sciences,,Y,,N,,,Y,
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Biochemistry,Required,Y,3,N,,,Y,"Online coursework and P/F grading are acceptable if
completed as a result of COVID-related adjustments."
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Biology,Required,Y,8,N,,,Y,"Online coursework and P/F grading are acceptable if
completed as a result of COVID-related adjustments."
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Biology/Zoology,,Y,,N,,,Y,
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Calculus,,Y,,N,,,Y,
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",College English,Required,Y,6,N,,,Y,"Online coursework and P/F grading are acceptable if
completed as a result of COVID-related adjustments."
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",College Mathematics,Required,Y,6,N,,,Y,"Online coursework and P/F grading are acceptable if
completed as a result of COVID-related adjustments."
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Computer Science,,Y,,N,,,Y,
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Genetics,Recommended,Y,,N,,,Y,
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Humanities,Recommended,Y,,N,,,Y,
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Inorganic Chemistry,Required,Y,8,N,,,Y,"Online coursework and P/F grading are acceptable if
completed as a result of COVID-related adjustments."
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Organic Chemistry,Required,Y,4,N,,,Y,"Online coursework and P/F grading are acceptable if
completed as a result of COVID-related adjustments."
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Physics,Required,Y,6,N,,,Y,"Online coursework and P/F grading are acceptable if
completed as a result of COVID-related adjustments."
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Psychology,Recommended,Y,,N,,,Y,
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Social Sciences,Recommended,Y,,N,,,Y,
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Behavioral Sciences,Recommended,Y,,N,,,Y,
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Biochemistry,Recommended,Y,,N,,,Y,
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Biology,,Y,,N,,,Y,
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Biology/Zoology,Required,Y,8,N,,,Y,
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Calculus,,Y,,N,,,Y,
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",College English,Required,Y,6,N,,,Y,
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",College Mathematics,Recommended,Y,,N,,,Y,
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Computer Science,,Y,,N,,,Y,
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Genetics,Recommended,Y,,N,,,Y,
CT,"Frank H. Netter
MD School of
Medicine at
Quinnipiac
University",Humanities,Recommended,Y,,N,,,Y,
CT,"University of
Connecticut
School of
Medicine",Inorganic Chemistry,Required,Y,12,N,C,,Y,
CT,"University of
Connecticut
School of
Medicine",Organic Chemistry,Required,Y,4,N,C,,Y,
CT,"University of
Connecticut
School of
Medicine",Physics,Required,Y,8,N,C,,Y,
CT,"University of
Connecticut
School of
Medicine",Physiology,Recommended,Y,,N,,,Y,
CT,"University of
Connecticut
School of
Medicine",Psychology,Recommended,Y,,N,,,Y,
CT,"University of
Connecticut
School of
Medicine",Social Sciences,Recommended,Y,,N,,,Y,
CT,"Yale School of
Medicine",Behavioral Sciences,,Y,,N,,,Y,
CT,"Yale School of
Medicine",Biochemistry,Required,Y,3,N,,,Y,"One semester. Laboratory recommended, but is not
required."
CT,"Yale School of
Medicine",Biology,,Y,,N,,,Y,
CT,"Yale School of
Medicine",Biology/Zoology,Required,Y,8,N,,,Y,Two semesters.
CT,"Yale School of
Medicine",Calculus,,Y,,N,,,Y,
CT,"Yale School of
Medicine",College English,,Y,,N,,,Y,
CT,"Yale School of
Medicine",College Mathematics,,Y,,N,,,Y,
CT,"Yale School of
Medicine",Computer Science,,Y,,N,,,Y,
CT,"Yale School of
Medicine",Genetics,,Y,,N,,,Y,
CT,"Yale School of
Medicine",Humanities,,Y,,N,,,Y,
CT,"Yale School of
Medicine",Inorganic Chemistry,Required,Y,8,N,,,Y,Two semesters.
CT,"Yale School of
Medicine",Organic Chemistry,Required,Y,4,N,,,Y,One semester.
CT,"Yale School of
Medicine",Physics,Required,Y,8,N,,,Y,Two semesters.
CT,"Yale School of
Medicine",Psychology,,Y,,N,,,Y,
CT,"Yale School of
Medicine",Social Sciences,,Y,,N,,,Y,
DC,"Georgetown
University School
of Medicine",Behavioral Sciences,Recommended,Y,,N,,,Y,
DC,"Georgetown
University School
of Medicine",Biochemistry,Recommended,Y,,N,,,Y,
DC,"Georgetown
University School
of Medicine",Biology,Required,Y,8,N,,,Y,
DC,"Georgetown
University School
of Medicine",Biology/Zoology,,Y,,N,,,Y,
DC,"Georgetown
University School
of Medicine",Calculus,Recommended,Y,,N,,,Y,
DC,"Georgetown
University School
of Medicine",College English,Recommended,Y,,N,,,Y,
DC,"Georgetown
University School
of Medicine",College Mathematics,Required,Y,4,N,,,Y,
DC,"Georgetown
University School
of Medicine",Computer Science,Recommended,Y,,N,,,Y,
DC,"Georgetown
University School
of Medicine",Genetics,Recommended,Y,,N,,,Y,
DC,"Georgetown
University School
of Medicine",Humanities,Recommended,Y,,N,,,Y,
DC,"Georgetown
University School
of Medicine",Inorganic Chemistry,Required,Y,8,N,,,Y,
DC,"Georgetown
University School
of Medicine",Organic Chemistry,Required,Y,8,N,,,Y,
DC,"Georgetown
University School
of Medicine",Physics,Required,Y,8,N,,,Y,
DC,"Georgetown
University School
of Medicine",Psychology,Recommended,Y,,N,,,Y,
DC,"Georgetown
University School
of Medicine",Social Sciences,Recommended,Y,,N,,,Y,
DC,"George
Washington
University School
of Medicine and
Health Sciences",Behavioral Sciences,Recommended,Y,,N,,,Y,"Online for Fall 2020 and Spring 2021 coursework is
acceptable."
DC,"George
Washington
University School
of Medicine and
Health Sciences",Biochemistry,Recommended,Y,,N,,,Y,"Online for Fall 2020 and Spring 2021 coursework
acceptable."
DC,"George
Washington
University School
of Medicine and
Health Sciences",Biology,Recommended,Y,,N,,,Y,"Online for Fall 2020 and Spring 2021 coursework
acceptable."
DC,"George
Washington
University School
of Medicine and
Health Sciences",Biology/Zoology,,Y,,N,,,Y,
DC,"George
Washington
University School
of Medicine and
Health Sciences",Calculus,,Y,,N,,,Y,
DC,"George
Washington
University School
of Medicine and
Health Sciences",College English,Recommended,Y,,N,,,Y,"Online for Fall 2020 and Spring 2021 coursework
acceptable."
DC,"George
Washington
University School
of Medicine and
Health Sciences",College Mathematics,Recommended,Y,,N,,,Y,"Online for Fall 2020 and Spring 2021 coursework
acceptable."
DC,"George
Washington
University School
of Medicine and
Health Sciences",Computer Science,,Y,,N,,,Y,
DC,"George
Washington
University School
of Medicine and
Health Sciences",Genetics,,Y,,N,,,Y,
DC,"George
Washington
University School
of Medicine and
Health Sciences",Humanities,Recommended,Y,,N,,,Y,"Online for Fall 2020 and Spring 2021 coursework
acceptable."
DC,"George
Washington
University School
of Medicine and
Health Sciences",Inorganic Chemistry,Recommended,Y,,N,,,Y,"Online for Fall 2020 and Spring 2021 coursework
acceptable."
DC,"George
Washington
University School
of Medicine and
Health Sciences",Organic Chemistry,Recommended,Y,,N,,,Y,"Online for Fall 2020 and Spring 2021 coursework
acceptable."
DC,"George
Washington
University School
of Medicine and
Health Sciences",Physics,Recommended,Y,,N,,,Y,"Online for Fall 2020 and Spring 2021 coursework
acceptable."
DC,"George
Washington
University School
of Medicine and
Health Sciences",Psychology,Recommended,Y,,N,,,Y,"Online for Fall 2020 and Spring 2021 coursework
acceptable."
DC,"George
Washington
University School
of Medicine and
Health Sciences",Social Sciences,Recommended,Y,,N,,,Y,"Online for Fall 2020 and Spring 2021 coursework
acceptable."
DC,"Howard
University
College of
Medicine",Behavioral Sciences,Recommended,Y,,N,,,Y,
DC,"Howard
University
College of
Medicine",Biochemistry,Required,Y,3,N,,,Y,
DC,"Howard
University
College of
Medicine",Biology,Required,Y,8,N,,,Y,
DC,"Howard
University
College of
Medicine",Biology/Zoology,,Y,,N,,,Y,
DC,"Howard
University
College of
Medicine",Calculus,,Y,,N,,,Y,
DC,"Howard
University
College of
Medicine",College English,Required,Y,6,N,,,Y,
DC,"Howard
University
College of
Medicine",College Mathematics,Required,Y,6,N,,,Y,
DC,"Howard
University
College of
Medicine",Computer Science,,Y,,N,,,Y,
DC,"Howard
University
College of
Medicine",Genetics,Recommended,Y,,N,,,Y,
DC,"Howard
University
College of
Medicine",Humanities,Required,Y,6,N,,,Y,
DC,"Howard
University
College of
Medicine",Inorganic Chemistry,Required,Y,8,N,,,Y,
DC,"Howard
University
College of
Medicine",Organic Chemistry,Required,Y,8,N,,,Y,
DC,"Howard
University
College of
Medicine",Physics,Required,Y,8,N,,,Y,
DC,"Howard
University
College of
Medicine",Psychology,Recommended,Y,,N,,,Y,
DC,"Howard
University
College of
Medicine",Social Sciences,Recommended,Y,,N,,,Y,
FL,"Charles E.
Schmidt College
of Medicine at
Florida Atlantic
University",Behavioral Sciences,Recommended,Y,3,N,,,Y,
FL,"Charles E.
Schmidt College
of Medicine at
Florida Atlantic
University",Biochemistry,Recommended,Y,4,N,,,Y,
FL,"Charles E.
Schmidt College
of Medicine at
Florida Atlantic
University",Biology,Required,Y,8,N,,,Y,"the Admissions Committee prefers this course be
taken with 5 years of the application date"
FL,"Charles E.
Schmidt College
of Medicine at
Florida Atlantic
University",Biology/Zoology,,Y,,N,,,Y,
FL,"Charles E.
Schmidt College
of Medicine at
Florida Atlantic
University",Calculus,,Y,,N,,,Y,
FL,"Charles E.
Schmidt College
of Medicine at
Florida Atlantic
University",College English,Required,Y,6,N,,,Y,
FL,"Charles E.
Schmidt College
of Medicine at
Florida Atlantic
University",College Mathematics,Required,Y,6,N,,,Y,
FL,"Charles E.
Schmidt College
of Medicine at
Florida Atlantic
University",Computer Science,Recommended,Y,3,N,,,Y,
FL,"Charles E.
Schmidt College
of Medicine at
Florida Atlantic
University",Genetics,Recommended,Y,4,N,,,Y,
FL,"Charles E.
Schmidt College
of Medicine at
Florida Atlantic
University",Humanities,Recommended,Y,6,N,,,Y,
FL,"Charles E.
Schmidt College
of Medicine at
Florida Atlantic
University",Inorganic Chemistry,Required,Y,8,N,,,Y,"the Admissions Committee prefers this course be
taken with 5 years of the application date"
FL,"Charles E.
Schmidt College
of Medicine at
Florida Atlantic
University",Organic Chemistry,Required,Y,8,N,,,Y,"the Admissions Committee prefers this course be
taken with 5 years of the application date"
FL,"Charles E.
Schmidt College
of Medicine at
Florida Atlantic
University",Physics,Required,Y,8,N,Y,N,Y,"the Admissions Committee prefers this course be
taken with 5 years of the application date"
FL,"Charles E.
Schmidt College
of Medicine at
Florida Atlantic
University",Psychology,Recommended,Y,3,N,,,Y,
FL,"Charles E.
Schmidt College
of Medicine at
Florida Atlantic
University",Social Sciences,Recommended,Y,6,N,,,Y,
FL,"Florida
International
University
Herbert
Wertheim
College of
Medicine",Behavioral Sciences,Recommended,Y,,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years."
FL,"Florida
International
University
Herbert
Wertheim
College of
Medicine",Biochemistry,Recommended,Y,4,N,,,Y,"Course can be used to satisfy Organic 2
requirement; We will accept Pass/Fail and online
labs for coursework completed during the 2019-2020
and 2020-2021 academic years."
FL,"Florida
International
University
Herbert
Wertheim
College of
Medicine",Biology,Required,Y,8,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years."
FL,"Florida
International
University
Herbert
Wertheim
College of
Medicine",Biology/Zoology,,Y,,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years."
FL,"Florida
International
University
Herbert
Wertheim
College of
Medicine",Calculus,,Y,,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years."
FL,"Florida
International
University
Herbert
Wertheim
College of
Medicine",Cell Biology,Recommended,Y,,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years."
FL,"Florida
International
University
Herbert
Wertheim
College of
Medicine",College English,Required,Y,6,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years."
FL,"Florida
International
University
Herbert
Wertheim
College of
Medicine",College Mathematics,Required,Y,6,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years."
FL,"Florida
International
University
Herbert
Wertheim
College of
Medicine",Computer Science,,Y,,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years."
FL,"Florida
International
University
Herbert
Wertheim
College of
Medicine",Foreign Language,Recommended,Y,,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years."
FL,"Florida
International
University
Herbert
Wertheim
College of
Medicine",Genetics,Recommended,Y,,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years."
FL,"Florida
International
University
Herbert
Wertheim
College of
Medicine",Humanities,Recommended,Y,,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020 and
2020-2021 academic years."
